Latency (ms)
432
38
24
27
28
32
237
23
27
43
27
28
26
28
26
26
19
110
41
25
25
25
37
23
24
25
26
29
28
28
28
25
25
234
23
26
26
29
28
33
30
25
26
30
111
25
25
26
25
28
28
29
38
25
24
24
29
28
29
28
237
45
24
26
27
27
27
28
27
28
27
100
26
25
24
23
24
24
27
30
28
28
41
24
28
22
36
237
26
30
40
26
29
28
29
28
30
30
89
43
28
24
25
33
25
23
24
25
26
28
25
25
30
25
241
26
26
25
26
25
44
24
27
28
136
24
27
25
25
25
25
25
40
29
25
28
27
23
26
25
244
50
28
27
25
26
25
26
19
25
25
111
29
50
25
26
26
25
25
24
26
26
25
27
27
59
227
25
28
43
28
28
30
49
27
19
109
55
29
23
59
25
25
26
25
25
25
25
26
25
25
230
26
30
27
27
28
29
25
46
45
104
24
24
25
28
27
28
28
50
25
26
25
27
28
285
45
24
26
28
28
32
27
23
25
23
103
26
26
34
37
22
24
25
23
23
26
33
26
25
26
30
238
72
59
26
25
26
25
25
25
104
44
46
27
37
29
24
24
21
28
34
36
28
28
245
85
23
24
39
27
25
28
30
106
25
26
33
27
28
28
28
29
27
28
29
28
25
27
28
232
108
24
30
29
29
24
31
113
24
23
30
25
25
24
34
24
22
36
30
29
32
61
224
24
25
48
24
28
25
77
25
110
43
23
25
27
35
28
23
26
25
26
31
24
29
31
254
24
28
25
25
25
38
25
25
24
43
108
22
24
25
29
24
23
25
49
25
28
28
27
28
28
29
254
53
25
28
27
29
23
28
30
113
25
55
53
29
29
41
26
46
26
25
24
30
238
98
25
23
24
28
28
28
30
101
47
61
50
25
30
23
23
28
25
27
29
28
29
224
87
25
25
29
24
27
27
30
113
25
24
27
28
27
35
80
21
25
29
29
23
22
22
230
47
28
31
29
61
29
27
26
111
26
31
57
25
25
25
63
51
24
25
26
35
234
24
28
47
25
68
24
24
25
26
92
42
24
27
28
37
28
67
21
26
24
23
22
24
26
233
24
28
27
32
27
28
23
35
33
37
120
53
25
31
29
37
49
25
25
26
23
22
27
248
51
23
25
24
27
22
25
26
25
24
113
26
26
27
24
28
28
30
29
27
27
29
24
24
25
33
243
24
26
45
23
25
27
28
32
30
29
90
46
25
25
25
37
24
29
26
27
27
26
28
24
24
25
232
23
28
30
25
27
35
24
25
24
32
116
29
25
26
26
25
26
25
39
26
25
27
27
25
26
23
245
48
24
25
24
25
20
24
27
24
25
24
95
25
29
28
25
25
26
27
25
23
25
44
25
23
28
31
237
24
24
48
26
19
25
26
25
25
25
20
96
45
25
25
25
38
25
26
27
27
23
25
24
24
20
25
245
25
32
26
25
26
34
26
28
31
32
108
22
27
31
28
25
26
26
31
26
23
25
26
25
25
24
23
227
46
23
23
25
26
28
25
29
25
28
108
23
34
27
27
28
28
25
24
21
24
41
26
29
25
266
27
24
48
25
25
28
25
25
24
26
105
42
28
32
54
24
29
24
25
28
31
23
30
27
21
231
31
25
25
28
25
37
26
25
26
28
111
25
25
25
27
28
26
27
36
30
31
29
24
28
47
237
56
26
27
28
29
23
24
23
28
27
97
30
26
24
25
23
24
24
31
25
28
34
24
25
23
37
241
30
29
34
30
28
28
27
27
24
23
103
40
24
26
33
26
24
26
25
25
25
27
28
29
29
31
229
25
25
25
24
26
37
26
29
28
35
107
25
30
31
28
28
24
53
25
30
24
23
25
30
29
241
52
25
25
25
25
24
21
30
29
28
102
23
24
36
25
28
25
25
25
30
29
35
27
29
33
254
22
29
45
30
25
26
29
30
24
24
98
44
25
29
24
41
26
43
26
25
29
24
25
23
28
239
30
26
26
24
26
47
28
25
44
111
29
27
28
23
24
25
28
34
25
25
19
27
28
26
28
27
250
25
29
24
24
24
24
26
23
26
25
108
24
28
29
23
30
24
27
24
23
28
39
24
26
25
34
239
22
29
55
25
23
24
30
25
27
28
95
48
25
29
27
28
23
24
22
28
29
28
29
31
26
26
229
24
25
23
24
27
47
25
28
28
33
104
26
29
29
27
24
27
28
32
25
24
26
25
24
25
25
24
225
49
28
28
28
29
24
28
29
28
17
98
